x,y,z,label,radius,curvature,torsion
68.4339,84.5161,0.668373,132,-1,0.0186628,0.135848
68.798,84.2815,0.678726,4,2.29493,0.0190354,0.136712
69.3467,83.935,0.697388,4,2.40109,0.019821,0.145323
69.8982,83.595,0.720512,4,2.40135,0.0209906,0.158772
70.452,83.2616,0.749018,4,2.4231,0.0227311,0.170644
71.0075,82.9349,0.784031,4,2.47487,0.0252087,0.169766
71.564,82.6151,0.826907,4,2.51305,0.0284658,0.158788
72.1205,82.3022,0.879207,4,2.36517,0.0324983,0.143671
72.491,82.0976,0.920156,4,2.77121,0.0356022,0.132679
73.0451,81.7967,0.992068,4,2.4588,0.0408131,0.116015
73.5961,81.5031,1.07826,4,2.4588,0.0465785,0.101365
74.1424,81.2168,1.18063,4,2.31787,0.0527626,0.0897699
74.6824,80.9378,1.30103,4,2.42915,0.0592413,0.0822417
75.2143,80.6659,1.44117,4,2.45714,0.065913,0.0783535
75.7361,80.4011,1.6026,4,2.39208,0.0726714,0.0775247
76.0775,80.2283,1.7227,4,2.27422,0.0771785,0.0778266
76.5782,79.9745,1.92243,4,2.37331,0.0839597,0.077802
77.0634,79.7267,2.14647,4,2.27665,0.0907918,0.0769233
77.5308,79.4842,2.39556,4,2.33948,0.0976497,0.0749296
77.9784,79.2463,2.67033,4,2.2418,0.104342,0.071481
78.4041,79.0123,2.97125,4,2.22403,0.110451,0.067024
78.8058,78.7814,3.29861,4,2.29814,0.115491,0.06203
79.182,78.5526,3.65251,4,2.26307,0.118967,0.0578026
79.4178,78.4009,3.90309,4,2.17203,0.120189,0.05604
79.748,78.174,4.30065,4,2.18707,0.120105,0.0551352
80.0496,77.9471,4.72357,4,2.12283,0.11751,0.0565778
80.322,77.7194,5.17081,4,2.23464,0.112406,0.0596985
80.5654,77.4899,5.641,4,2.06706,0.105072,0.064718
80.7807,77.2576,6.1324,4,2.15446,0.0958813,0.0727
80.9692,77.0216,6.64304,4,2.04456,0.085305,0.0854601
81.081,76.8617,6.99305,4,2.11168,0.0778538,0.0975413
81.2294,76.6173,7.53065,4,2.16024,0.0666333,0.122734
81.3573,76.3665,8.08112,4,2.15342,0.0559485,0.159152
81.4676,76.1084,8.64187,4,2.25999,0.0464243,0.211054
81.5632,75.8418,9.2103,4,2.1919,0.0387257,0.273667
81.6471,75.5661,9.78378,4,2.08137,0.0335387,0.318767
81.7216,75.2801,10.3597,4,2.09955,0.0313398,0.30379
81.789,74.9831,10.9354,4,2.08371,0.032062,0.222418
81.8305,74.7784,11.3178,4,2.18563,0.0339287,0.150786
81.8884,74.4608,11.8872,4,2.18205,0.0384169,0.0504647
81.9409,74.1294,12.4493,4,2.28362,0.0446116,-0.0133692
81.9873,73.783,13.0012,4,2.26414,0.052325,-0.0443205
82.0261,73.4204,13.5399,4,2.1807,0.0615258,-0.0543048
82.0552,73.0401,14.0623,4,2.21881,0.0721013,-0.0498177
82.0723,72.6406,14.565,4,2.10908,0.0834588,-0.0362987
82.0756,72.3629,14.8876,4,2.02658,0.0910497,-0.0246756
82.067,71.9282,15.3502,4,1.88731,0.101736,-0.00493516
82.0403,71.4708,15.7843,4,1.777,0.11058,0.0137027
81.9943,70.9898,16.1869,4,1.77597,0.11638,0.0323109
81.9289,70.4849,16.5556,4,1.90246,0.118087,0.0540307
81.8449,69.9565,16.8886,4,1.93868,0.115144,0.0805146
81.7448,69.4055,17.1851,4,2.0314,0.107984,0.114644
81.6319,68.834,17.4453,4,2.23246,0.0975881,0.165232
81.552,68.443,17.5993,4,2.13696,0.0895395,0.215021
81.4294,67.8442,17.8027,4,2.19529,0.0774147,0.322308
81.3094,67.2347,17.976,4,2.44385,0.0684134,0.461978
81.1995,66.6199,18.1233,4,2.43549,0.0677877,0.540825
81.1078,66.0064,18.2499,4,2.58314,0.0803773,0.453734
81.0424,65.4019,18.3616,4,2.48647,0.10663,0.311203
81.0114,64.8149,18.4648,4,2.49517,0.144898,0.21099
81.0133,64.4378,18.5319,4,2.68556,0.176863,0.16858
81.0546,63.9008,18.6346,4,2.58895,0.235232,0.129748
81.1457,63.4071,18.7444,4,2.45505,0.306971,0.108018
81.2892,62.9665,18.8658,4,2.38678,0.390018,0.0952776
81.4856,62.5886,19.0022,4,2.2581,0.475013,0.0880705
81.733,62.2819,19.1561,4,2.19058,0.543103,0.0840712
82.0274,62.0539,19.3284,4,2.31773,0.571545,0.0809711
82.2468,61.9485,19.4535,4,2.5408,0.562568,0.0791164
82.6045,61.8636,19.6559,4,2.10647,0.514477,0.0776853
82.988,61.8685,19.8743,4,2.01377,0.444999,0.0786969
83.3861,61.9634,20.1063,4,2.03249,0.374001,0.0834172
83.7867,62.1462,20.3489,4,1.84664,0.312356,0.0910677
84.1769,62.412,20.5994,4,1.87439,0.26409,0.100104
84.5439,62.7538,20.8549,4,2.04568,0.228803,0.110769
84.8758,63.1627,21.1132,4,2.10529,0.204222,0.122762
85.0722,63.4673,21.2861,4,2.37305,0.192754,0.129798
85.3228,63.9634,21.5456,4,2.27525,0.181902,0.137507
85.5137,64.4953,21.805,4,2.05562,0.177513,0.141034
85.6394,65.0498,22.0644,4,2.17845,0.178291,0.141148
85.6961,65.6134,22.324,4,1.93216,0.183383,0.138347
85.6824,66.1732,22.5846,4,1.88842,0.192207,0.132534
85.5983,66.7162,22.8468,4,1.79975,0.204161,0.12417
85.504,67.0629,23.0229,4,1.81419,0.213488,0.117835
85.3076,67.5515,23.289,4,1.84355,0.228615,0.107189
85.049,67.9932,23.5579,4,1.67728,0.243461,0.0950439
84.7334,68.379,23.8291,4,1.76777,0.255643,0.082664
