x,y,z,label,radius,curvature,torsion
67.9421,109.465,4.72777,4,1.68939,0.19005,-0.010393
67.5401,109.093,5.21632,4,1.66309,0.218248,-0.0143096
67.2445,108.723,5.69211,4,1.6265,0.244597,-0.0198563
67.0496,108.355,6.15363,4,1.9096,0.264636,-0.0274717
66.9491,107.989,6.59931,4,1.94269,0.273962,-0.0371495
66.9365,107.625,7.02745,4,2.0708,0.270346,-0.0488288
67.0049,107.263,7.43632,4,2.16354,0.254818,-0.0626679
67.147,106.902,7.82412,4,2.04827,0.231066,-0.0783671
67.3551,106.542,8.18904,4,2.18401,0.203736,-0.0955138
67.6214,106.183,8.52927,4,2.15449,0.176651,-0.114485
67.9381,105.825,8.84311,4,1.92488,0.15223,-0.135174
68.2971,105.465,9.12897,4,1.78416,0.131721,-0.155826
68.691,105.105,9.38543,4,1.61839,0.115576,-0.173303
69.1123,104.743,9.61133,4,1.67484,0.103695,-0.183182
69.5543,104.378,9.80581,4,1.84827,0.0955561,-0.183468
70.0109,104.01,9.96837,4,1.85189,0.0903374,-0.173816
70.4765,103.638,10.0989,4,1.80254,0.0870583,-0.156045
70.9467,103.262,10.1976,4,1.83167,0.0846819,-0.133641
71.4177,102.881,10.2653,4,1.76583,0.0822624,-0.109323
71.8867,102.494,10.3029,4,1.74399,0.0790129,-0.0837637
72.3518,102.101,10.3122,4,1.7063,0.0743482,-0.0575332
72.8121,101.702,10.2951,4,1.75687,0.0681059,-0.0336359
73.2674,101.298,10.2539,4,1.62536,0.0605073,-0.00995407
73.7185,100.887,10.1913,4,1.69278,0.0519706,0.0164658
74.1664,100.471,10.1102,4,1.66675,0.04298,0.04801
74.6129,100.05,10.0134,4,1.80934,0.0340135,0.0904262
75.0595,99.6241,9.90425,4,1.8833,0.0256397,0.156126
75.5082,99.1946,9.78587,4,1.93193,0.0186584,0.265742
75.9605,98.7622,9.66165,4,1.97227,0.0145078,0.397712
76.4178,98.3277,9.53507,4,1.95661,0.0149981,0.375162
76.8811,97.8921,9.40979,4,1.95661,0.0195428,0.262454
77.3508,97.4563,9.28971,4,1.95841,0.0263254,0.188399
77.8266,97.0214,9.17894,4,1.92007,0.0345847,0.147283
78.3078,96.5884,9.08188,4,1.87011,0.0442847,0.121616
78.7928,96.1585,9.00314,4,1.82126,0.0556107,0.0978694
79.2793,95.7328,8.94756,4,1.87095,0.0686865,0.0762521
79.7645,95.3128,8.92005,4,1.84753,0.0836222,0.0575817
80.2451,94.9001,8.92549,4,1.90871,0.100487,0.0417734
