x,y,z,label,radius,curvature,torsion
132.004,101.459,7.61404,6,1.96563,0.0517182,0.0345364
131.427,101.234,7.6035,6,2.11762,0.0486146,0.040912
130.856,100.999,7.57864,6,2.12942,0.0452732,0.0499416
130.291,100.754,7.54081,6,2.1381,0.0416796,0.062988
129.731,100.5,7.49141,6,2.27056,0.0378389,0.0822119
129.176,100.237,7.43194,6,2.31631,0.0337902,0.111276
128.626,99.9646,7.36401,6,2.25211,0.0296054,0.156646
128.079,99.6844,7.28938,6,2.20326,0.0254281,0.228305
127.536,99.3964,7.20992,6,2.15709,0.0215557,0.338374
126.996,99.1012,7.12765,6,2.18988,0.0185212,0.483984
126.458,98.7994,7.04474,6,2.17195,0.0171381,0.589809
125.922,98.4915,6.9635,6,2.03277,0.0180945,0.53932
125.388,98.1781,6.88633,6,1.97692,0.0212224,0.390487
124.855,97.8597,6.81571,6,1.90618,0.0257618,0.25776
124.324,97.5371,6.75416,6,1.79088,0.0310481,0.169148
123.793,97.2109,6.70414,6,1.79358,0.0366786,0.112995
123.263,96.8818,6.66813,6,1.78511,0.0424136,0.0765452
122.734,96.5503,6.64847,6,1.8218,0.0480975,0.0518505
122.206,96.2173,6.64745,6,1.92613,0.0536268,0.0342722
121.68,95.8832,6.6672,6,1.93033,0.0589264,0.0210549
121.156,95.5489,6.7097,6,2.04371,0.0639432,0.0107533
120.635,95.215,6.77675,6,1.96743,0.0686645,0.00288428
120.119,94.8822,6.86996,6,2.03798,0.0730984,-0.0033133
119.608,94.5512,6.99076,6,2.09847,0.0772524,-0.00837162
119.104,94.2227,7.14036,6,2.14332,0.081109,-0.0129185
118.609,93.8972,7.31976,6,2.18307,0.0846136,-0.017254
118.123,93.5756,7.52973,6,2.03379,0.0877101,-0.0215505
117.65,93.2584,7.77079,6,2.14794,0.0903548,-0.025786
117.342,93.0496,7.94888,6,2.15602,0.0918574,-0.0285519
116.892,92.7409,8.24208,6,2.08914,0.0937074,-0.032725
116.46,92.438,8.5663,6,2.1864,0.0950547,-0.03708
116.047,92.1412,8.92096,6,2.24435,0.0958597,-0.0420414
115.655,91.8507,9.30517,6,2.08979,0.0960514,-0.0479613
115.286,91.5666,9.71772,6,2.19687,0.0955565,-0.0552298
114.942,91.2889,10.1571,6,2.1994,0.0943419,-0.0637032
114.625,91.017,10.6214,6,2.201,0.0925095,-0.0730479
