x,y,z,label,radius,curvature,torsion
115.673,80.5338,1.24984,133,-1,0.108017,-0.00635608
115.309,80.3889,1.25455,6,2.28265,0.108106,-0.00689649
114.766,80.1713,1.29241,6,2.32933,0.107615,-0.0079841
114.228,79.9537,1.36679,6,2.21093,0.106383,-0.0094304
113.696,79.7362,1.47715,6,2.37385,0.104466,-0.0111441
113.17,79.5188,1.6228,6,2.23154,0.101977,-0.011522
112.652,79.3018,1.80298,6,2.28343,0.0990703,-0.0100084
112.142,79.0854,2.01678,6,2.26998,0.0959293,-0.00651468
111.642,78.87,2.26313,6,2.2929,0.0927865,-0.000348763
111.154,78.6562,2.54082,6,2.2872,0.089986,0.00921989
110.678,78.4449,2.84852,6,2.33476,0.0878915,0.0221819
110.217,78.2372,3.18482,6,2.33447,0.0868604,0.036818
109.772,78.0345,3.54832,6,2.20766,0.0871821,0.0481074
109.346,77.8385,3.93764,6,2.23607,0.0889676,0.0550598
108.94,77.6514,4.35157,6,2.18016,0.0921197,0.0575201
108.556,77.4753,4.78913,6,2.16978,0.0962571,0.0549006
108.313,77.3649,5.09359,6,2.13711,0.0992512,0.0508741
107.969,77.2117,5.56901,6,2.31874,0.10358,0.0424366
107.652,77.0748,6.06658,6,2.18356,0.107071,0.0315486
107.362,76.9558,6.586,6,2.30189,0.108968,0.017527
107.101,76.8559,7.127,6,2.188,0.108606,0.000241712
106.867,76.7755,7.68914,6,2.27722,0.105549,-0.0210629
106.663,76.7144,8.27174,6,2.28283,0.0997622,-0.0451327
106.486,76.6713,8.8737,6,2.25194,0.0916549,-0.074387
106.338,76.6442,9.49343,6,2.31288,0.0818368,-0.114512
106.216,76.63,10.1287,6,2.32375,0.0711352,-0.172743
106.121,76.6248,10.7767,6,2.30688,0.0608031,-0.25775
106.049,76.624,11.4338,6,2.29019,0.0526566,-0.369106
106.001,76.6223,12.0956,6,2.30127,0.0493681,-0.451649
105.972,76.6138,12.7574,6,2.31934,0.0535556,-0.415605
105.963,76.5923,13.4136,6,2.31934,0.0656171,-0.304789
105.966,76.5676,13.8449,6,2.34428,0.0774123,-0.236282
105.982,76.5103,14.4781,6,2.30254,0.0999032,-0.161988
106.011,76.4231,15.089,6,2.35989,0.127592,-0.115692
106.05,76.3002,15.671,6,2.47312,0.159991,-0.0867727
