x,y,z,label,radius,curvature,torsion
119.5,87,1.5,133,-1,0.0488523,-0.0224813
119,86.5,1.5,6,2.17617,0.0492031,-0.0243089
118.5,86,2,6,2.19219,0.0496131,-0.0278957
118,85.5,2,6,2.25397,0.0498398,-0.0327786
117.5,85,2,6,2.21321,0.0498334,-0.0393432
117,84.5,2.5,6,2.14904,0.0495518,-0.0477662
116.5,84,2.5,6,2.08135,0.048967,-0.0585198
116,84,2.5,6,2.10629,0.0480631,-0.0723694
115.5,83.5,2.5,6,2.05626,0.0468261,-0.0903811
115,83,2.5,6,2.11341,0.0452021,-0.11461
114.5,82.5,3,6,2.11378,0.0431594,-0.148464
114,82,3,6,2.04906,0.0407476,-0.195604
113.5,81.5,3,6,2.10105,0.0382025,-0.255698
113,81,3,6,2.36399,0.0359506,-0.326749
112.5,81,2.5,6,2.23918,0.0348973,-0.374684
112,80.5,3,6,2.32978,0.0345009,-0.428015
111.5,80,3,6,2.34738,0.0360896,-0.434115
111,80,3.5,6,2.24042,0.0399309,-0.392216
110.5,79.5,3,6,2.37219,0.0458427,-0.327248
110,79.5,3,6,2.19981,0.0533743,-0.260569
109.5,79,3.5,6,2.15294,0.0619942,-0.204765
109,79,3,6,2.16939,0.0712376,-0.161723
108.5,78.5,3.5,6,2.13676,0.0807616,-0.129206
108,78.5,3.5,6,2.1512,0.0903212,-0.104399
107.5,78,3.5,6,2.0763,0.0997156,-0.0850868
107,78,4,6,2.21577,0.108761,-0.0698334
106.5,77.5,4.5,6,2.18818,0.117249,-0.0576873
106,77.5,5,6,2.19642,0.124961,-0.047854
105.5,77.5,5,6,2.11056,0.12957,-0.0423601
105,77,5.5,6,2.06683,0.13554,-0.0361537
104.5,77,6,6,2.11194,0.140145,-0.0320801
104.5,76.5,6.5,6,2.05532,0.14306,-0.0298386
104,76.5,7,6,2.08174,0.143976,-0.0293839
104,76.5,7.5,6,2.10024,0.142807,-0.0306907
103.5,76.5,8,6,2.0876,0.139592,-0.0337738
103.5,76.5,8.5,6,2.30292,0.134463,-0.0388293
103.5,76,9,6,2.19671,0.127633,-0.0462522
103.5,76,9.5,6,2.27735,0.119387,-0.0569721
103.5,76,10,6,2.24359,0.110054,-0.0725193
103,76,10.5,6,2.32363,0.100077,-0.0938914
103,76,11,6,2.30127,0.0900596,-0.123618
103,76,11.5,6,2.38035,0.0806801,-0.165355
103,76,12,6,2.37917,0.0752032,-0.200836
103,76,12.5,6,2.50029,0.0690283,-0.261727
103,75.5,13,6,2.53868,0.0666527,-0.315565
103,75.5,13.5,6,2.47402,0.0696589,-0.334722
103,75.5,14,6,2.47047,0.0791176,-0.307766
103.5,75.5,14.5,6,2.53033,0.0952113,-0.257944
