x,y,z,label,radius,curvature,torsion
60.5,88.5,3,132,-1,0.0907809,0.00528835
60.5,88.5,3.5,4,2.74036,0.0980831,0.00599976
60.5,88.5,4,4,2.79375,0.105648,0.00700048
60.5,88,4.5,4,2.78013,0.113312,0.00834594
60.5,88,5,4,2.77121,0.120863,0.0101333
60.5,88,5.5,4,2.79242,0.128019,0.0125795
60.5,88,6,4,2.71359,0.134458,0.0158016
61,87.5,6.5,4,2.68383,0.139869,0.0198662
60.5,87.5,7,4,2.70758,0.144005,0.0243551
61,87,7.5,4,2.75974,0.146692,0.0291173
61,87,8,4,2.74345,0.147842,0.0341618
61,86.5,8.5,4,2.71076,0.147448,0.0394979
61.5,86.5,9,4,2.73275,0.145519,0.0452503
61.5,86,9.5,4,2.72,0.142105,0.05172
62,85.5,10,4,2.81001,0.137311,0.0589884
62.5,85,10.5,4,2.69608,0.131358,0.0662552
63,84.5,11,4,2.80536,0.124483,0.0738271
63.5,84,11,4,2.78599,0.116851,0.0822842
64,83.5,11.5,4,2.78599,0.108608,0.0916624
64.5,83,11.5,4,2.84064,0.0999211,0.102485
65,82.5,11.5,4,2.89153,0.0908923,0.115954
65.5,82,11.5,4,2.87148,0.081587,0.134778
66,81.5,11.5,4,2.92331,0.0721588,0.162828
66.5,81,11.5,4,2.92676,0.0628276,0.205371
67,81,11.5,4,2.88411,0.0539045,0.270134
67.5,80.5,11.5,4,2.84749,0.0458735,0.364819
68,80.5,11.5,4,2.91793,0.0395192,0.489066
68.5,80,11,4,2.83244,0.0360069,0.601185
69,80,11.5,4,2.96324,0.0365883,0.609725
69.5,80,11,4,2.8383,0.0415841,0.503483
70,79.5,11,4,2.82205,0.0499731,0.376135
70.5,79.5,11,4,2.79817,0.0603971,0.279535
71,79,11,4,2.90641,0.0717301,0.215767
71.5,79,11.5,4,2.89063,0.083083,0.175109
72,79,11,4,2.79578,0.0937097,0.149323
72.5,78.5,11.5,4,2.76968,0.103149,0.131802
73,78.5,11.5,4,2.83807,0.111125,0.118662
73.5,78.5,11.5,4,2.69358,0.117407,0.10785
74,78,12,4,2.60124,0.121772,0.0989903
74.5,78,12,4,2.61267,0.124011,0.0918837
75,77.5,12.5,4,2.68815,0.124048,0.0863624
75.5,77,13,4,2.60991,0.122009,0.0818656
76,76.5,13.5,4,2.61762,0.118309,0.0774905
76.5,76,14,4,2.66539,0.113381,0.0728001
77,75.5,14.5,4,2.62337,0.10758,0.0679934
77,75,15,4,2.63371,0.101302,0.0643816
77,74.5,15.5,4,2.53059,0.0949142,0.0615024
77,74,16,4,2.48261,0.0886618,0.0588928
77.5,73.5,16.5,4,2.66603,0.0826473,0.05696
77.5,73,17,4,2.67109,0.0768732,0.0558345
77.5,72.5,17,4,2.6459,0.071301,0.0554991
77.5,72,17.5,4,2.79721,0.0658513,0.0566651
77.5,72,18,4,2.83959,0.060415,0.0605395
77.5,71.5,18.5,4,2.82997,0.054894,0.068315
78,71,18.5,4,2.9478,0.0492101,0.0818126
78,70.5,19,4,2.83658,0.0433243,0.103556
77.5,70,19.5,4,2.80311,0.0372424,0.139621
77.5,69.5,19.5,4,2.77121,0.0310311,0.20274
77.5,69,20,4,2.66265,0.0249166,0.319506
77.5,68.5,20.5,4,2.5375,0.0195189,0.530388
77.5,68,20.5,4,2.54607,0.0161929,0.782726
77.5,67.5,21,4,2.4847,0.0166295,0.747084
77.5,67,21.5,4,2.50993,0.0205524,0.491307
77,66.5,22,4,2.5066,0.0261519,0.308477
77.5,66.5,22.5,4,2.66443,0.0321245,0.212965
77.5,66,23,4,2.28471,0.0378133,0.164816
77.5,65.5,23,4,2.43514,0.0428752,0.141292
77,65,23.5,4,2.3077,0.0471192,0.131759
77.5,64.5,24,4,2.28892,0.0504739,0.130279
77.5,64,24.5,4,2.31691,0.0529746,0.13446
77.5,63.5,24.5,4,2.37944,0.0547573,0.14326
77.5,63,25,4,2.41237,0.0560815,0.154023
77.5,62.5,25.5,4,2.3315,0.0573504,0.163648
78,62,25.5,4,2.25065,0.0590293,0.170358
78,61.5,26,4,2.3693,0.0616113,0.171919
78.5,61,26.5,4,2.41547,0.0655557,0.166417
78.5,60.5,27,4,2.39723,0.0712391,0.154983
79,60,27.5,4,2.19609,0.078969,0.139903
79,59.5,28,4,2.21803,0.0889764,0.122595
79.5,59,28.5,4,2.18519,0.101361,0.105366
80,58.5,29,4,2.23547,0.116118,0.0898069
80,58.5,29.5,4,2.14048,0.133166,0.0770269
80.5,58.5,30,4,2.43512,0.152395,0.0671232
81,59,30.5,4,2.19778,0.173491,0.0593905
80.5,58.5,31,4,2.82904,0.195761,0.0533996
80.5,58,31.5,4,2.28982,0.217995,0.0491553
81,58.5,32,4,2.32678,0.238396,0.0463292
81,58.5,32.5,4,2.29616,0.25471,0.044722
81.5,59,33,4,2.20971,0.264804,0.044475
81.5,59.5,33.5,4,2.2541,0.267363,0.0454818
81.5,59.5,34,4,2.46618,0.262129,0.0476757
81.5,60,34.5,4,2.44608,0.250002,0.0511009
81,60.5,35,4,2.16258,0.232795,0.0559106
81.5,61,35,4,2.20637,0.212625,0.0624642
81,61.5,35.5,4,2.17507,0.19142,0.071045
81,62,35.5,4,2.25,0.170751,0.0813386
81,62.5,35.5,4,2.1673,0.151714,0.0938631
81,63,36,4,2.19738,0.134956,0.109107
80.5,63.5,36,4,2.11009,0.120895,0.126304
80.5,64,36,4,2.19575,0.109891,0.14384
80.5,64.5,36.5,4,2.12389,0.102233,0.158856
80,65,36.5,4,2.17336,0.0981096,0.167417
79.5,65.5,36.5,4,2.06496,0.0974853,0.166953
79.5,66,36.5,4,2.04413,0.100088,0.158013
79,66.5,37,4,2.23222,0.105444,0.143494
79,67,37,4,2.15144,0.112994,0.126489
78.5,67.5,37,4,2.24712,0.122128,0.109044
78,68,37,4,2.23245,0.132142,0.0921709
77.5,68.5,37,4,2.04621,0.142226,0.0765195
77,68.5,37,4,2.03684,0.151466,0.0617882
76.5,69,37,4,2.04034,0.158858,0.0473069
76,68.5,37,4,2.44685,0.163457,0.033574
75.5,68.5,37,4,2.18466,0.164736,0.0209669
75,69,37.5,4,2.19612,0.162547,0.0087376
74.5,69,37.5,4,2.10166,0.157089,-0.00346159
74,68.5,38,52,2.02529,0.148891,-0.0152533
73.5,68.5,38,52,1.83013,0.138676,-0.0269892
73,68.5,38,5,1.79294,0.127205,-0.0390331
72.5,68.5,38,5,1.84677,0.115196,-0.0509978
72,68.5,38,5,1.90154,0.103291,-0.0626202
71.5,68.5,38,5,1.78015,0.0920019,-0.0734148
71,68,38,5,1.80053,0.0816848,-0.0831345
70.5,67.5,37.5,5,1.66423,0.0725163,-0.0913357
70,67.5,37.5,5,1.72388,0.0645603,-0.0962077
69.5,67.5,38,5,1.66574,0.0577924,-0.0956881
69,67,38,5,1.67407,0.0520841,-0.0888263
68.5,67,38,5,1.81965,0.0472613,-0.0735721
68,67,38.5,5,1.66589,0.043148,-0.0480312
67.5,66.5,38,5,1.61697,0.0395661,-0.0149916
67,66.5,38,5,1.75,0.0363612,0.0247746
66.5,66.5,38,5,1.64172,0.0334606,0.0720099
66,66,37.5,5,1.62942,0.0308866,0.124743
65.5,66,37.5,5,1.62342,0.0287561,0.17765
65,65.5,37.5,5,1.57835,0.0272433,0.222806
64.5,65,37,5,1.47646,0.0265196,0.249194
64,65,37,5,1.62644,0.026661,0.249658
63.5,65,37,5,1.60632,0.0275972,0.227099
63,64.5,37,5,1.54698,0.0291306,0.191974
62.5,64,37,5,1.49623,0.0310256,0.156601
62,63.5,37,5,1.46161,0.0330947,0.125733
61.5,63.5,37,5,1.52218,0.0351831,0.100319
61,63,37,5,1.52892,0.0371704,0.0800727
60.5,62.5,36.5,5,1.39907,0.0389817,0.0641024
60,62,36.5,5,1.46855,0.0405662,0.051448
59.5,61.5,37,5,1.5117,0.0418902,0.041615
59,61,37,5,1.47774,0.0429668,0.0346998
58.5,60.5,37,140,-1,0.04384,0.0300269
